'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TELFER AERO Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TELFER AERO,01/01/2020,10.3,17.6, ,41.3,24.1,81,20,4.70,30.26
TELFER AERO,02/01/2020,10.3,0.0, ,41.9,28.9,100,23,5.36,29.78
TELFER AERO,03/01/2020,5.6,18.0, ,33.2,23.4,89,37,5.49,11.28
TELFER AERO,04/01/2020,4.5,1.6, ,28.9,23.4,88,54,7.97,7.87
TELFER AERO,05/01/2020,7.3,0.0, ,31.6,21.3,70,41,8.16,15.66
TELFER AERO,06/01/2020,4.8,0.0, ,28.9,23.4,80,51,7.24,7.89
TELFER AERO,07/01/2020,3.6,6.6, ,28.0,22.4,100,66,8.06,11.72
TELFER AERO,08/01/2020,2.2,21.4, ,28.2,22.6,100,76,7.37,4.83
TELFER AERO,09/01/2020,5.1,53.0, ,30.8,24.1,100,56,7.40,16.80
TELFER AERO,10/01/2020,6.8,0.2, ,35.8,25.7,98,44,4.05,24.47
TELFER AERO,11/01/2020,9.2,0.0, ,38.4,23.6,99,35,6.84,27.73
TELFER AERO,12/01/2020,11.0,0.2, ,42.2,25.9,67,24,5.91,26.98
TELFER AERO,13/01/2020,9.8,0.0, ,40.8,29.6,61,27,4.39,27.91
TELFER AERO,14/01/2020,9.7,0.0, ,40.4,27.9,75,28,4.56,29.40
TELFER AERO,15/01/2020,9.2,0.0, ,39.8,26.6,79,29,4.47,28.46
TELFER AERO,16/01/2020,6.1,0.0, ,33.4,25.6,75,45,4.93,16.46
TELFER AERO,17/01/2020,9.4,0.0, ,39.0,27.4,73,31,5.05,27.95
TELFER AERO,18/01/2020,8.2,0.0, ,38.1,25.1,84,34,4.51,25.45
TELFER AERO,19/01/2020,10.0,1.2, ,41.1,26.2,90,25,5.10,29.25
TELFER AERO,20/01/2020,10.5,0.0, ,39.6,27.3,68,17,5.11,29.59
TELFER AERO,21/01/2020,11.0,0.0, ,42.2,27.2,43,16,4.67,28.60
TELFER AERO,22/01/2020,11.7,0.0, ,43.2,29.2,61,18,5.62,28.83
TELFER AERO,23/01/2020,11.5,0.0, ,41.1,28.1,66,14,5.65,30.13
TELFER AERO,24/01/2020,12.3,0.0, ,40.9,26.7,33,15,5.93,30.06
TELFER AERO,25/01/2020,13.1,0.0, ,42.6,28.4,28,13,6.08,30.00
TELFER AERO,26/01/2020,12.0,0.0, ,43.0,28.3,40,16,5.33,29.47
TELFER AERO,27/01/2020,9.4,0.0, ,42.6,29.8,50,14,3.51,25.95
TELFER AERO,28/01/2020,9.8,0.0, ,44.4,28.9,64,10,3.21,29.83
TELFER AERO,29/01/2020,11.6,0.0, ,45.4,31.4,36,1,4.16,29.78
TELFER AERO,30/01/2020,13.0,0.0, ,45.9,27.5,65,10,5.90,28.86
TELFER AERO,31/01/2020,10.6,0.0, ,43.7,27.0,85,1,4.04,29.57
Totals:,,279.6,119.8, ,,,,,, 
