'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THEVENARD ISLAND Western Australia for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THEVENARD ISLAND,01/03/2009, ,0.2, ,32.4,25.3,99,63,6.27, 
THEVENARD ISLAND,02/03/2009, ,0.2, ,31.9,24.5,82,50,7.38, 
THEVENARD ISLAND,03/03/2009, ,0.0, ,36.5,25.1,81,38,5.87, 
THEVENARD ISLAND,04/03/2009, ,0.0, ,34.3,27.1,80,48,5.80, 
THEVENARD ISLAND,05/03/2009, ,0.0, ,34.7,27.9,80,38,4.89, 
THEVENARD ISLAND,06/03/2009, ,0.0, ,36.2,25.6,93,42,4.02, 
THEVENARD ISLAND,07/03/2009, ,0.0, ,34.9,28.1,99,50,3.88, 
THEVENARD ISLAND,08/03/2009, ,0.0, ,34.6,26.9,99,37,5.41, 
THEVENARD ISLAND,09/03/2009, ,0.0, ,34.8,25.3,98,30,4.22, 
THEVENARD ISLAND,10/03/2009, ,0.0, ,33.5,24.8,98,56,4.83, 
THEVENARD ISLAND,11/03/2009, ,0.0, ,33.7,27.1,94,31,5.65, 
THEVENARD ISLAND,12/03/2009, ,0.0, ,33.2,26.9,97,49,4.34, 
THEVENARD ISLAND,13/03/2009, ,0.0, ,32.8,24.1,99,50,4.32, 
THEVENARD ISLAND,14/03/2009, ,0.0, ,34.4,26.5,84,50,5.90, 
THEVENARD ISLAND,15/03/2009, ,0.0, ,34.0,27.3,76,52,6.57, 
THEVENARD ISLAND,16/03/2009, ,0.0, ,37.6,28.1,83,30,5.81, 
THEVENARD ISLAND,17/03/2009, ,0.0, ,37.8,27.1,70,34,7.07, 
THEVENARD ISLAND,18/03/2009, ,0.0, ,37.7,27.1,99,31,6.81, 
THEVENARD ISLAND,19/03/2009, ,0.0, ,32.4,25.1,94,53,4.76, 
THEVENARD ISLAND,20/03/2009, ,0.0, ,31.5,24.3,84,57,5.08, 
THEVENARD ISLAND,21/03/2009, ,0.0, ,33.9,26.0,76,41,6.82, 
THEVENARD ISLAND,22/03/2009, ,0.0, ,33.8,26.5,74,43,6.83, 
THEVENARD ISLAND,23/03/2009, ,0.0, ,34.5, , , , , 
THEVENARD ISLAND,24/03/2009, ,0.0, ,33.1,23.8, , , , 
THEVENARD ISLAND,25/03/2009, ,0.0, ,33.2,24.5,88,33,6.14, 
THEVENARD ISLAND,26/03/2009, ,0.0, ,37.3,25.2,79,34,5.18, 
THEVENARD ISLAND,27/03/2009, ,0.0, ,41.7,26.8,73,14,5.39, 
THEVENARD ISLAND,28/03/2009, ,0.0, ,38.9,27.5,70,29,6.51, 
THEVENARD ISLAND,29/03/2009, ,0.0, ,35.5,25.8,89,32,6.53, 
THEVENARD ISLAND,30/03/2009, ,0.0, ,32.3,25.2,90,57,5.60, 
THEVENARD ISLAND,31/03/2009, ,0.0, ,31.2,24.6,99,54,4.19, 
Totals:,, ,0.4, ,,,,,, 
