'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THEVENARD ISLAND Western Australia for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THEVENARD ISLAND,01/03/2014,5.9,0.0, ,32.8,25.2,100,59,4.04,25.72
THEVENARD ISLAND,02/03/2014,6.0,0.0, ,34.6,24.5,100,65,4.07,26.34
THEVENARD ISLAND,03/03/2014,8.0,0.0, ,36.8,26.9,100,33,5.25,26.36
THEVENARD ISLAND,04/03/2014,7.3,0.0, ,34.0,28.8,98,43,6.09,26.18
THEVENARD ISLAND,05/03/2014,6.0,0.0, ,32.8,27.0,100,62,5.64,25.68
THEVENARD ISLAND,06/03/2014, ,0.0, , , ,100,100,4.76,25.82
THEVENARD ISLAND,12/03/2014, ,0.0, , , ,100,100,4.25,23.66
THEVENARD ISLAND,13/03/2014, ,0.0, , , ,100,47,5.78,23.42
THEVENARD ISLAND,14/03/2014, ,0.0, ,35.8, ,86,45,5.64,23.89
THEVENARD ISLAND,15/03/2014,7.9,0.0, ,37.7,28.9,87,41,5.44,24.38
THEVENARD ISLAND,16/03/2014,6.9,0.0, ,35.2,27.8,86,43,4.96,21.79
THEVENARD ISLAND,17/03/2014,5.7,0.0, ,33.5,27.6,99,66,4.71,24.45
THEVENARD ISLAND,18/03/2014,6.4,0.0, ,35.6,25.4,100,48,4.52,23.70
THEVENARD ISLAND,19/03/2014,8.0,0.0, ,38.1,28.8,70,35,4.42,23.53
THEVENARD ISLAND,20/03/2014,7.1,0.0, ,38.2,29.5,90,36,5.19,18.57
THEVENARD ISLAND,21/03/2014,7.1,0.0, ,36.1,29.7,91,36,4.35,23.57
THEVENARD ISLAND,22/03/2014,6.3,0.0, ,34.5,27.2,81,55,3.70,23.99
THEVENARD ISLAND,23/03/2014,8.2,0.0, ,38.9,29.0,77,31,4.68,23.43
THEVENARD ISLAND,24/03/2014,5.8,0.0, ,36.0,26.8,99,52,3.92,21.17
THEVENARD ISLAND,25/03/2014,5.8,0.0, ,35.4,27.8,99,51,4.21,21.07
THEVENARD ISLAND,26/03/2014,6.3,0.0, ,35.7,26.5,99,45,4.59,21.93
THEVENARD ISLAND,27/03/2014,6.6,0.0, ,34.2,28.5,71,40,4.38,19.94
THEVENARD ISLAND,28/03/2014,4.8,0.0, ,32.6,28.2,77,51,5.85,7.37
THEVENARD ISLAND,29/03/2014,5.7,0.0, ,33.4,24.9,91,52,3.82,22.75
THEVENARD ISLAND,30/03/2014,6.2,0.0, ,32.1,24.9,93,48,6.17,22.58
THEVENARD ISLAND,31/03/2014,6.8,0.0, ,32.6,25.4,74,43,5.15,22.60
Totals:,,144.8,0, ,,,,,, 
