'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for THEVENARD ISLAND Western Australia for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
THEVENARD ISLAND,01/07/2020,4.2,0.0, ,28.1,20.6,95,39,5.47,11.59
THEVENARD ISLAND,02/07/2020,2.9,0.0, ,25.2,19.5,99,58,3.34,14.79
THEVENARD ISLAND,03/07/2020,3.9,0.0, ,27.9,20.2,89,42,3.50,16.58
THEVENARD ISLAND,04/07/2020,4.6,0.0, ,28.8,18.8,94,29,4.30,16.61
THEVENARD ISLAND,05/07/2020,4.7,0.0, ,27.8,19.2,80,50,6.08,16.60
THEVENARD ISLAND,06/07/2020,4.1,0.0, ,27.0,20.7,99,36,4.28,16.67
THEVENARD ISLAND,07/07/2020,4.3,0.0, ,28.6,17.1,93,23,3.27,16.77
THEVENARD ISLAND,08/07/2020,5.7,0.0, ,28.0,18.6,76,20,5.38,16.78
THEVENARD ISLAND,09/07/2020,5.7,0.0, ,27.9,19.3,77,34,6.76,16.80
THEVENARD ISLAND,10/07/2020,6.0,0.0, ,28.7,19.9,83,21,5.96,16.81
THEVENARD ISLAND,11/07/2020,4.6,0.0, ,27.1,18.9,85,34,4.61,16.82
THEVENARD ISLAND,12/07/2020,4.9,0.0, ,25.6,20.4,79,34,5.53,16.81
THEVENARD ISLAND,13/07/2020,4.5,0.0, ,26.0,17.5,95,33,5.36,16.82
THEVENARD ISLAND,14/07/2020,3.4,0.0, ,25.8,19.8,99,46,3.13,16.98
THEVENARD ISLAND,15/07/2020,2.9,0.0, ,25.2,16.6,100,61,2.51,17.12
THEVENARD ISLAND,16/07/2020,4.3,0.0, ,26.8,19.5,99,44,5.94,17.10
THEVENARD ISLAND,17/07/2020,3.5,0.2, ,26.6,20.0,93,63,5.09,15.55
THEVENARD ISLAND,18/07/2020,4.9,0.0, ,25.0,17.6,84,43,8.64,12.68
THEVENARD ISLAND,19/07/2020,5.1,0.0, ,24.7,17.1,80,35,6.60,17.25
THEVENARD ISLAND,20/07/2020,4.0,0.0, ,25.1,18.7,89,49,5.15,17.29
THEVENARD ISLAND,21/07/2020,3.6,0.0, ,25.9,15.8,94,34,2.79,17.42
THEVENARD ISLAND,22/07/2020,3.3,0.0, ,25.8,16.0,99,60,3.92,17.58
THEVENARD ISLAND,23/07/2020,4.3,0.0, ,28.5,18.1,99,37,3.88,17.69
THEVENARD ISLAND,24/07/2020,4.2,0.2, ,29.0,18.8,99,34,3.24,17.69
THEVENARD ISLAND,25/07/2020,3.9,0.2, ,26.9,17.1,99,37,3.36,17.80
THEVENARD ISLAND,26/07/2020,4.5,0.0, ,26.9,16.9,99,28,4.29,17.76
THEVENARD ISLAND,27/07/2020,4.9,0.0, ,26.3,14.8,77,26,4.28,17.83
THEVENARD ISLAND,28/07/2020,4.4,0.0, ,26.3,17.7,99,34,4.47,17.92
THEVENARD ISLAND,29/07/2020,4.4,0.0, ,28.4,13.7,99,16,2.88,18.09
THEVENARD ISLAND,30/07/2020,4.3,0.0, ,28.2,19.5,97,16,2.67,18.20
THEVENARD ISLAND,31/07/2020,4.3,0.0, ,28.1,13.7,99,26,3.14,18.30
Totals:,,134.3,0.6, ,,,,,, 
