'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for June 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/06/2019,9.6,0.0, ,28.3,21.8,43,26,10.96,20.02
TROUGHTON ISLAND,02/06/2019,9.8,0.0, ,29.5,23.1,44,28,10.97,19.89
TROUGHTON ISLAND,03/06/2019,9.5,0.0, ,27.3,23.8,40,26,11.03,15.83
TROUGHTON ISLAND,04/06/2019,9.1,0.0, ,26.8,22.7,43,27,11.02,17.06
TROUGHTON ISLAND,05/06/2019,9.4,0.0, ,26.5,22.2,36,24,10.60,17.19
TROUGHTON ISLAND,06/06/2019,8.2,0.0, ,26.0,19.8,50,28,10.09,19.81
TROUGHTON ISLAND,07/06/2019, ,0.0, ,27.2,21.2,62,28,9.67, 
TROUGHTON ISLAND,08/06/2019,7.0,0.0, ,28.4,23.6,79,30,8.32,19.66
TROUGHTON ISLAND,09/06/2019,4.5,0.0, ,28.6,23.6,90,54,4.28,19.70
TROUGHTON ISLAND,10/06/2019,4.5,0.0, ,31.1,22.9,94,39,2.53,19.72
TROUGHTON ISLAND,11/06/2019,4.1,0.0, ,30.1,23.9,94,46,2.20,19.27
TROUGHTON ISLAND,12/06/2019,4.0,0.0, ,29.7,24.6,93,63,2.50,19.39
TROUGHTON ISLAND,13/06/2019,3.8,0.0, ,29.4,24.2,96,67,1.81,19.62
TROUGHTON ISLAND,14/06/2019,3.9,0.0, ,29.5,24.6,96,67,2.60,19.35
TROUGHTON ISLAND,15/06/2019,3.7,0.2, ,29.4,24.8,96,73,2.45,18.78
TROUGHTON ISLAND,16/06/2019,3.6,0.2, ,29.2,24.4,98,74,1.82,19.48
TROUGHTON ISLAND,17/06/2019,3.6,0.0, ,29.5,24.6,96,75,2.29,18.52
TROUGHTON ISLAND,18/06/2019,3.7,0.0, ,28.7,23.8,96,65,1.92,19.42
TROUGHTON ISLAND,19/06/2019,5.5,0.0, ,28.5,23.2,95,38,6.69,19.57
TROUGHTON ISLAND,20/06/2019,8.4,0.0, ,29.1,23.8,59,27,9.16,19.52
TROUGHTON ISLAND,21/06/2019,8.1,0.0, ,29.0,23.6,62,33,9.62,19.49
TROUGHTON ISLAND,22/06/2019,7.6,0.0, ,27.4,23.1,65,33,9.58,19.50
TROUGHTON ISLAND,23/06/2019,7.6,0.0, ,27.4,22.6,59,33,9.12,19.45
TROUGHTON ISLAND,24/06/2019,7.9,0.0, ,28.1,23.2,60,29,8.79,19.56
TROUGHTON ISLAND,25/06/2019,7.3,0.0, ,27.9,22.4,67,23,7.42,19.58
TROUGHTON ISLAND,26/06/2019,7.2,0.0, ,27.6,21.0,70,26,8.13,19.58
TROUGHTON ISLAND,27/06/2019,7.6,0.0, ,29.3,21.9,59,24,7.10,19.55
TROUGHTON ISLAND,28/06/2019,4.9,0.0, ,28.8,20.7,81,21,2.98,19.62
TROUGHTON ISLAND,29/06/2019,4.9,0.0, ,28.5,21.7,92,40,4.42,19.53
TROUGHTON ISLAND,30/06/2019,4.8,0.0, ,28.6,21.1,86,38,3.84,19.28
Totals:,,183.8,0.4, ,,,,,, 
