'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/10/2020,6.1,0.0, ,32.2,27.5,82,61,3.51,25.77
TROUGHTON ISLAND,02/10/2020,6.1,0.0, ,32.8,27.0,85,55,3.01,25.58
TROUGHTON ISLAND,03/10/2020,6.5,0.0, ,32.9,27.5,83,62,4.89,26.27
TROUGHTON ISLAND,04/10/2020,6.8,0.0, ,32.8,27.7,83,61,5.78,26.52
TROUGHTON ISLAND,05/10/2020, ,0.0, ,32.5,27.7,81,58,5.56, 
TROUGHTON ISLAND,06/10/2020, ,0.0, ,32.8,27.4,80,49,4.70, 
TROUGHTON ISLAND,07/10/2020,7.2,0.0, ,32.8,27.5,76,41,4.06,26.96
TROUGHTON ISLAND,08/10/2020,6.9,0.0, ,33.1,27.2,83,44,3.91,26.65
TROUGHTON ISLAND,09/10/2020,4.0,2.2, ,31.5,24.6,96,67,3.30,15.75
TROUGHTON ISLAND,10/10/2020,5.9,13.4, ,32.6,24.3,89,62,3.65,25.80
TROUGHTON ISLAND,11/10/2020,7.4,0.0, ,33.6,27.6,87,43,4.86,27.29
TROUGHTON ISLAND,12/10/2020, ,0.0, , ,27.5,85,49,3.80,27.38
TROUGHTON ISLAND,13/10/2020, , , , , ,80,54,3.69,27.05
TROUGHTON ISLAND,14/10/2020,7.5, , ,33.6,28.2,81,53,5.62,27.55
TROUGHTON ISLAND,15/10/2020,6.9,0.0, ,33.0,27.5,85,62,6.09,27.61
TROUGHTON ISLAND,16/10/2020,6.9,0.0, ,32.9,27.8,84,61,5.85,26.85
TROUGHTON ISLAND,17/10/2020,6.7,0.0, ,32.7,27.3,79,58,4.71,26.20
TROUGHTON ISLAND,18/10/2020,6.8,0.0, ,32.6,27.9,79,61,4.52,27.37
TROUGHTON ISLAND,19/10/2020,7.0,0.0, ,32.6,28.0,82,64,6.17,27.61
TROUGHTON ISLAND,20/10/2020,7.7,0.0, ,32.8,28.3,80,55,7.09,27.62
TROUGHTON ISLAND,21/10/2020,7.1,0.0, ,32.8,28.0,83,61,6.36,27.63
TROUGHTON ISLAND,22/10/2020, ,0.0, , ,27.8,84,64,5.25,27.63
TROUGHTON ISLAND,23/10/2020, , , ,32.8, ,83,61,5.32,27.28
TROUGHTON ISLAND,24/10/2020,7.1,0.0, ,32.5,27.8,82,63,7.34,27.40
TROUGHTON ISLAND,25/10/2020,6.9,0.0, ,32.5,28.1,83,64,8.92,24.68
TROUGHTON ISLAND,26/10/2020,7.1,0.0, ,32.3,27.9,84,65,8.66,27.49
TROUGHTON ISLAND,27/10/2020,6.5,0.0, ,32.5,27.7,82,60,4.22,26.23
TROUGHTON ISLAND,28/10/2020,6.1,0.0, ,32.4,27.4,80,62,2.79,26.01
TROUGHTON ISLAND,29/10/2020,6.9,0.0, ,33.5,27.8,80,50,3.81,26.43
TROUGHTON ISLAND,30/10/2020,6.9,0.0, ,33.5,28.4,82,62,5.56,26.18
TROUGHTON ISLAND,31/10/2020,6.7,0.0, ,33.2,28.4,83,59,6.19,23.93
Totals:,,167.7,15.6, ,,,,,, 
