'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/01/2010,6.5,0.0, ,33.7,26.1,86,58,4.12,25.59
TRUSCOTT,02/01/2010,5.8,5.4, ,33.0,22.7,88,60,3.99,23.49
TRUSCOTT,03/01/2010,5.8,0.8, ,33.6,24.5,91,64,4.14,23.79
TRUSCOTT,04/01/2010,3.6,9.4, ,31.6,26.8,95,64,2.66,13.22
TRUSCOTT,05/01/2010,3.6,34.6, ,30.8,24.4,94,76,3.05,15.03
TRUSCOTT,06/01/2010,7.5,1.8, ,34.2,24.7,90,49,5.36,28.75
TRUSCOTT,07/01/2010,7.7,0.0, ,32.8,28.7,81,61,7.00,29.57
TRUSCOTT,08/01/2010,7.8,0.0, ,32.9,28.4,77,60,6.77,29.36
TRUSCOTT,09/01/2010,7.6,0.0, ,32.9,27.8,76,55,5.68,28.63
TRUSCOTT,10/01/2010,4.7,0.0, ,32.3,28.0,89,62,3.57,17.03
TRUSCOTT,11/01/2010,4.6,4.8, ,31.4,26.7,89,62,3.35,17.57
TRUSCOTT,12/01/2010,4.7,0.8, ,30.9,25.1,87,64,3.65,18.19
TRUSCOTT,13/01/2010,4.9,33.0, ,30.8,23.5,96,65,3.64,21.60
TRUSCOTT,14/01/2010,4.3,47.4, ,29.2,23.0,97,72,2.82,20.34
TRUSCOTT,15/01/2010,5.7,6.6, ,32.1,25.4,95,61,2.24,26.03
TRUSCOTT,16/01/2010,6.4,0.0, ,32.7,27.0,88,64,2.88,28.37
TRUSCOTT,17/01/2010,6.1,0.2, ,32.3,26.8,90,64,2.77,27.42
TRUSCOTT,18/01/2010,6.0,0.2, ,32.4,25.1,87,60,2.95,26.09
TRUSCOTT,19/01/2010,5.8,0.0, ,32.2,25.1,91,59,2.01,26.27
TRUSCOTT,20/01/2010,4.5,0.0, ,30.8,26.6,91,69,2.22,19.32
TRUSCOTT,21/01/2010,4.4,10.0, ,30.0,24.5,91,73,4.66,19.04
TRUSCOTT,22/01/2010,5.6,11.8, ,31.5,24.8,93,65,4.27,24.78
TRUSCOTT,23/01/2010,6.4,3.8, ,31.8,25.4,86,64,4.45,27.77
TRUSCOTT,24/01/2010,7.0,0.0, ,32.2,27.2,85,60,4.77,29.33
TRUSCOTT,25/01/2010,6.6,0.0, ,32.4,27.4,94,60,4.97,27.96
TRUSCOTT,26/01/2010,6.2,14.6, ,31.7,24.6,94,65,5.95,27.57
TRUSCOTT,27/01/2010,6.7,0.2, ,32.4,28.4,84,68,6.40,27.39
TRUSCOTT,28/01/2010,6.7,0.0, ,31.5,28.3,83,60,7.81,23.04
TRUSCOTT,29/01/2010,7.2,0.0, ,31.7,28.2,78,65,8.07,26.98
TRUSCOTT,30/01/2010,5.8,4.4, ,31.6,22.2,94,64,5.58,25.32
TRUSCOTT,31/01/2010,5.8,5.0, ,32.0,26.2,93,67,5.15,25.16
Totals:,,182,194.8, ,,,,,, 
