'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/12/2020,6.3,0.2, ,36.3,25.8,91,39,2.54,23.51
TRUSCOTT,02/12/2020,6.2,8.2, ,34.7,22.4,97,45,3.42,23.93
TRUSCOTT,03/12/2020,6.5,3.6, ,34.7,24.3,96,48,3.51,25.79
TRUSCOTT,04/12/2020,6.4,0.0, ,33.7,25.1,95,50,3.02,26.91
TRUSCOTT,05/12/2020,3.9,0.0, ,30.9,26.5,85,66,3.29,13.55
TRUSCOTT,06/12/2020,2.2,0.0, ,30.7,26.3,100,70,2.05,6.97
TRUSCOTT,07/12/2020,5.5,3.2, ,33.4,25.9,100,53,3.05,21.95
TRUSCOTT,08/12/2020,1.0,19.8, ,31.4,22.8,100,86,2.42,1.96
TRUSCOTT,09/12/2020,3.7,4.4, ,31.9,24.5,100,69,2.55,15.17
TRUSCOTT,10/12/2020,5.2,3.2, ,33.0,24.8,100,57,2.33,22.18
TRUSCOTT,11/12/2020,5.6,0.0, ,32.7,24.8,100,59,2.57,25.19
TRUSCOTT,12/12/2020,6.0,0.0, ,33.1,26.7,98,64,2.46,27.02
TRUSCOTT,13/12/2020,6.3,0.0, ,33.3,25.7,94,53,2.82,26.73
TRUSCOTT,14/12/2020,5.8,0.0, ,35.1,27.0,100,48,2.91,22.03
TRUSCOTT,15/12/2020,6.0,30.2, ,33.2,24.1,100,57,3.97,25.19
TRUSCOTT,16/12/2020,6.4,15.8, ,33.8,22.1,95,55,4.82,25.34
TRUSCOTT,17/12/2020,5.1,0.0, ,33.2,26.7,94,64,4.44,19.03
TRUSCOTT,18/12/2020,2.9,5.2, ,31.6,25.4,100,73,2.64,10.72
TRUSCOTT,19/12/2020,3.2,25.0, ,29.5,24.6,100,69,2.93,12.71
TRUSCOTT,20/12/2020,3.1,120.2, ,30.6,24.1,100,74,4.59,11.75
TRUSCOTT,21/12/2020,2.0,13.0, ,29.4,25.0,99,75,6.04,3.26
TRUSCOTT,22/12/2020,5.0,34.4, ,30.3,24.2,99,62,3.77,21.87
TRUSCOTT,23/12/2020,5.8,0.0, ,30.6,24.0,90,51,3.39,24.55
TRUSCOTT,24/12/2020,5.9,0.0, ,31.6,23.8,100,60,2.75,27.59
TRUSCOTT,25/12/2020,6.2,0.0, ,32.8,24.8,100,51,2.58,27.32
TRUSCOTT,26/12/2020,5.5,0.0, ,32.6,26.1,93,58,3.14,22.85
TRUSCOTT,27/12/2020,5.7,0.0, ,32.3,27.4,91,57,3.64,22.66
TRUSCOTT,28/12/2020,5.1,1.8, ,32.8,24.7,100,58,2.81,21.32
TRUSCOTT,29/12/2020,5.8,4.8, ,32.9,24.9,100,58,2.95,25.68
TRUSCOTT,30/12/2020,3.8,8.4, ,33.2,25.4,100,58,2.46,13.50
TRUSCOTT,31/12/2020,6.6,27.4, ,33.9,24.6,100,51,3.39,28.44
Totals:,,154.7,328.8, ,,,,,, 
