'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANDERING Western Australia for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANDERING,01/01/2012,4.3,20.2, ,25.0,15.7,90,49,4.83,14.91
WANDERING,02/01/2012,6.2,0.0, ,27.2,15.5,80,40,4.33,26.63
WANDERING,03/01/2012,8.7,0.0, ,29.3,14.2,76,25,7.19,31.82
WANDERING,04/01/2012,5.6,4.0, ,26.9,14.1,82,44,4.76,22.60
WANDERING,05/01/2012,6.9,0.0, ,30.6,18.4,78,44,4.62,27.93
WANDERING,06/01/2012,6.2,0.0, ,25.3,18.0,79,35,3.92,27.32
WANDERING,07/01/2012,5.8,0.2, ,24.8,11.5,86,32,3.47,28.16
WANDERING,08/01/2012,6.3,0.0, ,25.6,8.5,87,30,3.51,32.09
WANDERING,09/01/2012,7.9,0.0, ,29.5,12.7,74,25,4.64,32.38
WANDERING,10/01/2012,8.0,0.0, ,30.9,13.6,74,22,4.23,32.30
WANDERING,11/01/2012,8.1,0.0, ,32.9,14.5,80,16,3.51,32.05
WANDERING,12/01/2012,8.8,0.0, ,34.2,16.4,67,18,3.95,32.03
WANDERING,13/01/2012,8.4,0.0, ,33.3,18.8,66,25,4.10,30.94
WANDERING,14/01/2012,6.6,0.0, ,31.0,21.0,73,39,3.52,25.02
WANDERING,15/01/2012,6.7,0.0, ,33.4,19.2,86,32,2.55,27.95
WANDERING,16/01/2012,7.1,0.0, ,28.0,16.2,81,23,3.94,30.65
WANDERING,17/01/2012,7.5,0.0, ,29.7,12.2,77,22,3.83,32.26
WANDERING,18/01/2012,8.0,0.0, ,35.0,13.5,54,13,2.85,30.31
WANDERING,19/01/2012,7.2,0.0, ,35.8,17.3,66,22,2.36,28.46
WANDERING,20/01/2012,6.2,6.2, ,34.8,19.8,87,19,2.60,20.35
WANDERING,21/01/2012,8.3,0.0, ,37.8,20.4,66,27,3.07,30.02
WANDERING,22/01/2012,7.8,0.0, ,36.2,19.3,86,25,2.99,30.31
WANDERING,23/01/2012,8.6,0.0, ,33.7,18.3,78,31,5.82,29.32
WANDERING,24/01/2012,9.1,0.0, ,35.5,17.6,75,27,5.35,29.82
WANDERING,25/01/2012,9.1,0.0, ,37.8,19.7,73,19,3.93,30.22
WANDERING,26/01/2012,8.6,0.0, ,38.9,17.9,70,14,2.92,30.51
WANDERING,27/01/2012,7.3,0.0, ,39.2,21.0,64,18,2.34,24.74
WANDERING,28/01/2012,7.0,0.0, ,39.7,21.1,66,13,2.33,22.08
WANDERING,29/01/2012,9.0,0.0, ,28.4,18.5,71,23,8.74,29.27
WANDERING,30/01/2012,8.9,0.0, ,28.6,14.2,57,19,6.67,31.34
WANDERING,31/01/2012,8.3,0.0, ,32.2,13.9,64,20,4.38,30.21
Totals:,,232.5,30.6, ,,,,,, 
