'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARBURTON AIRFIELD Western Australia for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARBURTON AIRFIELD,01/12/2015,12.2,0.0, ,35.2,22.0,43,18,8.50,30.55
WARBURTON AIRFIELD,02/12/2015,11.4,0.0, ,37.1,23.7,30,16,6.48,25.93
WARBURTON AIRFIELD,03/12/2015,10.2,0.0, ,37.2,25.1,67,13,6.24,22.97
WARBURTON AIRFIELD,04/12/2015,11.4,3.6, ,39.9,20.0,88,18,7.39,26.80
WARBURTON AIRFIELD,05/12/2015,12.2,0.0, ,41.6,25.4,52,11,6.26,26.55
WARBURTON AIRFIELD,06/12/2015,10.3,0.0, ,37.7,26.2,88,16,7.42,23.46
WARBURTON AIRFIELD,07/12/2015,11.0,0.8, ,39.0,18.8,41,8,4.72,31.89
WARBURTON AIRFIELD,08/12/2015,10.3,0.0, ,38.9,20.1,31,8,3.98,32.38
WARBURTON AIRFIELD,09/12/2015,11.2,0.0, ,40.0,23.8,37,13,5.54,24.87
WARBURTON AIRFIELD,10/12/2015,9.9,0.8, ,42.6,24.5,46,11,3.73,26.87
WARBURTON AIRFIELD,11/12/2015,11.5,0.0, ,37.5,20.5,53,15,6.44,30.79
WARBURTON AIRFIELD,12/12/2015,11.1,0.0, ,40.0,22.5,34,7,4.44,32.22
WARBURTON AIRFIELD,13/12/2015,9.7,0.0, ,39.7,24.0,35,10,4.77,17.67
WARBURTON AIRFIELD,14/12/2015,8.6,0.0, ,40.9,28.6,35,12,3.58,18.39
WARBURTON AIRFIELD,15/12/2015,10.0,0.0, ,39.7,24.0,68,16,5.15,25.34
WARBURTON AIRFIELD,16/12/2015,8.3,3.0, ,40.4,21.5,85,15,2.46,30.09
WARBURTON AIRFIELD,17/12/2015, ,0.0, , ,26.8,29,11,3.99,29.63
WARBURTON AIRFIELD,18/12/2015, , , ,39.4, ,41,19,5.43,16.98
WARBURTON AIRFIELD,19/12/2015,9.3,0.4, ,41.4,27.7,72,14,4.10,23.99
WARBURTON AIRFIELD,20/12/2015,8.1,8.0, ,32.2,19.6,83,35,7.24,25.35
WARBURTON AIRFIELD,21/12/2015,10.9,0.0, ,39.2,23.7,45,19,5.27,30.21
WARBURTON AIRFIELD,22/12/2015,11.7,0.0, ,41.2,29.6,54,16,6.48,24.64
WARBURTON AIRFIELD,23/12/2015,7.4,0.0, ,39.3,26.0,93,27,4.89,16.18
WARBURTON AIRFIELD,24/12/2015,8.5,9.6, ,39.1,22.6,93,24,3.38,29.38
WARBURTON AIRFIELD,25/12/2015,9.3,2.8, ,37.5,24.2,75,27,6.15,24.05
WARBURTON AIRFIELD,26/12/2015,10.6,0.0, ,32.3,16.7,60,14,8.17,27.28
WARBURTON AIRFIELD,27/12/2015,11.0,0.0, ,34.2,19.6,34,10,5.81,33.08
WARBURTON AIRFIELD,28/12/2015,12.0,0.0, ,37.7,21.6,26,6,5.51,33.60
WARBURTON AIRFIELD,29/12/2015,10.8,0.0, ,38.9,21.3,16,4,4.07,33.56
WARBURTON AIRFIELD,30/12/2015,10.3,0.0, ,40.8,22.1,16,4,3.43,33.60
WARBURTON AIRFIELD,31/12/2015,11.0,0.0, ,42.4,19.7,31,7,4.09,30.50
Totals:,,300.2,29, ,,,,,, 
