'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARBURTON AIRFIELD Western Australia for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARBURTON AIRFIELD,01/05/2021,4.2,0.0, ,25.5,12.1,75,30,3.71,15.22
WARBURTON AIRFIELD,02/05/2021,5.5,0.0, ,31.5,16.0,67,17,3.71,16.53
WARBURTON AIRFIELD,03/05/2021,6.3,0.0, ,26.9,19.4,58,34,7.21,16.57
WARBURTON AIRFIELD,04/05/2021,6.2,0.0, ,31.7,16.5,69,21,4.80,16.93
WARBURTON AIRFIELD,05/05/2021,6.2,0.0, ,28.3,20.3,45,27,5.80,9.87
WARBURTON AIRFIELD,06/05/2021,5.7,0.0, ,32.1,20.1,44,23,3.83,14.64
WARBURTON AIRFIELD,07/05/2021,2.3,0.0, ,24.7,19.8,100,47,2.84,6.54
WARBURTON AIRFIELD,08/05/2021,3.4,5.0, ,25.7,12.8,100,45,3.33,16.60
WARBURTON AIRFIELD,09/05/2021,3.8,0.0, ,25.1,12.8,99,36,3.88,16.54
WARBURTON AIRFIELD,10/05/2021,4.4,0.0, ,25.1,13.4,73,34,4.50,16.66
WARBURTON AIRFIELD,11/05/2021,4.5,0.0, ,26.4,11.6,65,25,3.62,16.54
WARBURTON AIRFIELD,12/05/2021,4.1,0.0, ,27.8,11.5,79,24,2.87,16.42
WARBURTON AIRFIELD,13/05/2021,5.2,0.0, ,25.5,14.0,74,22,5.34,16.32
WARBURTON AIRFIELD,14/05/2021, ,0.0, , ,12.1,100,43,4.97,15.73
WARBURTON AIRFIELD,15/05/2021,4.4, , ,21.7,10.6,67,29,5.29,16.07
WARBURTON AIRFIELD,16/05/2021,4.3,0.0, ,23.8,9.7,74,22,4.14,15.99
WARBURTON AIRFIELD,17/05/2021,4.4,0.0, ,24.5,10.9,50,20,3.53,15.71
WARBURTON AIRFIELD,18/05/2021,4.3,0.0, ,23.5,12.0,39,15,3.34,12.85
WARBURTON AIRFIELD,19/05/2021,4.3,0.0, ,25.4,9.4,41,12,3.04,13.66
WARBURTON AIRFIELD,20/05/2021,4.0,0.0, ,26.6,7.2,44,10,2.47,15.35
WARBURTON AIRFIELD,21/05/2021,4.6,0.0, ,28.1,10.9,33,12,3.01,15.54
WARBURTON AIRFIELD,22/05/2021,4.9,0.0, ,28.2,10.7,36,17,3.44,15.06
WARBURTON AIRFIELD,23/05/2021,7.4,0.0, ,30.5,16.6,36,18,6.36,13.93
WARBURTON AIRFIELD,24/05/2021,4.7,0.0, ,24.8,17.7,65,28,5.32,9.35
WARBURTON AIRFIELD,25/05/2021,2.9,0.0, ,17.8,2.8,73,23,2.91,14.35
WARBURTON AIRFIELD,26/05/2021,4.1,0.0, ,19.5,6.7,56,24,4.96,14.30
WARBURTON AIRFIELD,27/05/2021,4.1,0.0, ,22.6,5.0,64,22,4.17,14.86
WARBURTON AIRFIELD,28/05/2021,4.2,0.0, ,22.4,12.6,43,22,3.83,14.81
WARBURTON AIRFIELD,29/05/2021,4.2,0.0, ,23.0,7.8,54,18,3.91,14.89
WARBURTON AIRFIELD,30/05/2021,3.0,0.0, ,18.6,11.4,61,29,3.39,6.15
WARBURTON AIRFIELD,31/05/2021,2.4,0.2, ,21.0,9.8,77,31,2.23,8.13
Totals:,,134,5.2, ,,,,,, 
