'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST ROEBUCK Western Australia for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST ROEBUCK,01/11/2009,8.9,0.0, ,34.6,25.3,19,11,3.86,25.43
WEST ROEBUCK,02/11/2009,8.5,0.0, ,37.7,24.4,20,10,3.04,27.45
WEST ROEBUCK,03/11/2009,8.9,0.0, ,34.2,24.6,20,12,3.70,28.24
WEST ROEBUCK,04/11/2009,9.6,0.0, ,36.0,27.0,17,11,3.91,29.38
WEST ROEBUCK,05/11/2009,8.0,13.6, ,35.5,22.7,22,11,3.06,24.60
WEST ROEBUCK,06/11/2009,7.2,24.6, ,34.4,21.2,24,11,2.91,20.73
WEST ROEBUCK,07/11/2009,7.7,0.0, ,37.7,24.1,19,10,2.51,26.07
WEST ROEBUCK,08/11/2009,10.0,1.4, ,39.3,25.0,19,9,3.84,29.32
WEST ROEBUCK,09/11/2009,10.8,0.0, ,41.1,26.1,18,8,4.27,28.93
WEST ROEBUCK,10/11/2009,8.9,0.0, ,36.8,24.9,19,11,3.52,26.11
WEST ROEBUCK,11/11/2009,8.3,0.0, ,37.9,25.5,19,9,2.78,27.86
WEST ROEBUCK,12/11/2009, ,0.0, ,36.4,26.3,18,10,3.22, 
WEST ROEBUCK,13/11/2009,8.1,0.0, ,36.2,26.9,17,10,3.04,23.70
WEST ROEBUCK,14/11/2009,10.6,0.0, ,43.5,26.5,17,7,3.70,29.34
WEST ROEBUCK,15/11/2009,9.5,0.0, ,36.1,25.5,19,10,3.71,30.04
WEST ROEBUCK,16/11/2009, ,0.0, ,35.1,26.9,17,11,4.70, 
WEST ROEBUCK,17/11/2009, ,0.0, ,34.7,27.1,17,11,4.54, 
WEST ROEBUCK,18/11/2009, ,0.0, ,34.1,26.2,18,12,4.45, 
WEST ROEBUCK,19/11/2009, ,0.0, ,34.1,26.6,18,12,4.20, 
WEST ROEBUCK,20/11/2009, ,0.0, ,33.8,25.5,19,12,4.35, 
WEST ROEBUCK,21/11/2009, ,0.0, ,39.3,23.7,21,9,3.20, 
WEST ROEBUCK,22/11/2009, ,0.0, ,40.8,23.8,20,8,3.73, 
WEST ROEBUCK,23/11/2009, ,0.0, ,39.9,26.8,17,9,5.44, 
WEST ROEBUCK,24/11/2009, ,0.0, ,39.7,26.2,18,9,5.26, 
WEST ROEBUCK,25/11/2009, ,0.0, ,39.0,21.5,23,9,3.57, 
WEST ROEBUCK,26/11/2009, ,0.0, ,34.6,21.5, , , , 
WEST ROEBUCK,27/11/2009, ,0.0, ,37.0,21.8, , , , 
WEST ROEBUCK,28/11/2009,9.7,0.0, ,40.1,21.8,23,9,3.27,31.59
WEST ROEBUCK,29/11/2009,10.7,0.0, ,43.1,22.8,22,7,3.58,32.10
WEST ROEBUCK,30/11/2009,11.7,0.0, ,44.9,20.9,25,7,3.92,32.56
Totals:,,157.1,39.6, ,,,,,, 
