'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST ROEBUCK Western Australia for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST ROEBUCK,01/09/2011,6.9,0.0, ,34.2,14.5,36,12,3.05,24.31
WEST ROEBUCK,02/09/2011,6.9,0.0, ,32.9,16.8,31,13,3.20,23.91
WEST ROEBUCK,03/09/2011,7.3,0.0, ,34.2,16.2,31,12,3.37,24.61
WEST ROEBUCK,04/09/2011,7.5,0.0, ,36.7,16.4,31,10,3.14,24.71
WEST ROEBUCK,05/09/2011,8.2,0.0, ,37.7,15.7,32,9,3.55,24.93
WEST ROEBUCK,06/09/2011,9.0,0.0, ,38.2,18.2,29,9,4.17,24.96
WEST ROEBUCK,07/09/2011,8.9,0.0, ,34.5,20.2,26,11,4.69,25.14
WEST ROEBUCK,08/09/2011,9.1,0.0, ,31.5,17.2,34,14,5.87,25.49
WEST ROEBUCK,09/09/2011,9.2,0.0, ,32.1,11.8,43,13,6.21,25.37
WEST ROEBUCK,10/09/2011,9.5,0.0, ,33.1,14.7,36,13,5.98,25.63
WEST ROEBUCK,11/09/2011,8.7,0.0, ,32.2,11.5,44,13,5.27,26.50
WEST ROEBUCK,12/09/2011,8.3,0.0, ,32.6,8.5,54,13,4.63,26.76
WEST ROEBUCK,13/09/2011,7.9,0.0, ,33.0,12.1,43,12,3.81,27.17
WEST ROEBUCK,14/09/2011,7.7,0.0, ,34.2,11.4,45,12,3.51,26.76
WEST ROEBUCK,15/09/2011,7.7,0.0, ,36.2,10.8,47,10,3.10,26.86
WEST ROEBUCK,16/09/2011,7.5,0.0, ,36.4,12.0,41,10,2.86,26.71
WEST ROEBUCK,17/09/2011,7.5,0.0, ,34.0,13.2,40,12,3.23,26.71
WEST ROEBUCK,18/09/2011,6.8,0.2, ,31.2,16.8,32,14,3.00,25.95
WEST ROEBUCK,19/09/2011,7.5,0.4, ,35.6,16.2,33,11,3.03,26.10
WEST ROEBUCK,20/09/2011,8.3,0.0, ,36.4,15.4,34,10,3.46,27.29
WEST ROEBUCK,21/09/2011,9.0,0.0, ,38.7,15.0,35,9,3.75,26.80
WEST ROEBUCK,22/09/2011,8.0,0.0, ,38.1,15.4,31,10,3.02,26.89
WEST ROEBUCK,23/09/2011,7.4,0.0, ,33.6,14.8,36,12,3.20,26.80
WEST ROEBUCK,24/09/2011,7.8,0.0, ,34.5,17.9,30,12,3.37,26.26
WEST ROEBUCK,25/09/2011,8.0,0.0, ,32.7,19.3,27,13,3.77,26.38
WEST ROEBUCK,26/09/2011,8.2,0.0, ,32.3,20.2,26,13,4.05,26.52
WEST ROEBUCK,27/09/2011,7.6,0.2, ,30.4,20.5,25,15,3.60,26.37
WEST ROEBUCK,28/09/2011,7.3,0.0, ,33.6,18.6,28,12,2.91,26.73
WEST ROEBUCK,29/09/2011,8.2,0.0, ,39.1,17.7,28,9,2.92,27.17
WEST ROEBUCK,30/09/2011,7.9,0.0, ,34.6,17.3,31,11,3.36,26.76
Totals:,,239.8,0.8, ,,,,,, 
