'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST ROEBUCK Western Australia for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST ROEBUCK,01/07/2012,6.2,0.0, ,30.8,9.2,52,14,4.21,17.32
WEST ROEBUCK,02/07/2012,6.2,0.0, ,28.4,11.9,44,16,4.71,17.24
WEST ROEBUCK,03/07/2012,5.2,0.0, ,26.5,4.2,74,18,4.32,17.25
WEST ROEBUCK,04/07/2012,5.4,0.0, ,26.9,5.6,66,18,4.37,17.32
WEST ROEBUCK,05/07/2012,5.2,0.0, ,28.3,6.7,62,16,3.64,17.41
WEST ROEBUCK,06/07/2012,5.3,0.0, ,28.5,8.2,56,16,3.53,17.50
WEST ROEBUCK,07/07/2012,4.7,0.0, ,28.5,6.4,63,16,2.93,17.55
WEST ROEBUCK,08/07/2012,5.4,0.0, ,30.5,7.6,58,15,3.24,17.50
WEST ROEBUCK,09/07/2012,5.3,0.0, ,31.4,7.9,57,14,2.95,17.62
WEST ROEBUCK,10/07/2012,6.0,0.0, ,32.9,11.9,43,13,3.44,17.63
WEST ROEBUCK,11/07/2012,4.5,0.0, ,26.3,12.2,43,18,2.78,17.69
WEST ROEBUCK,12/07/2012,4.6,0.0, ,27.7,11.3,46,17,2.74,17.76
WEST ROEBUCK,13/07/2012,6.2,0.0, ,28.5,16.3,33,16,4.26,17.45
WEST ROEBUCK,14/07/2012,5.7,0.0, ,26.6,11.2,47,18,4.48,17.86
WEST ROEBUCK,15/07/2012,6.1,0.0, ,31.2,10.0,50,14,3.79,17.95
WEST ROEBUCK,16/07/2012,5.8,0.0, ,33.0,12.3,42,12,3.09,18.18
WEST ROEBUCK,17/07/2012,5.1,0.0, ,30.1,14.3,37,15,2.78,18.19
WEST ROEBUCK,18/07/2012,5.8,0.0, ,34.4,15.4,34,12,2.91,18.30
WEST ROEBUCK,19/07/2012,6.6,0.0, ,33.1,14.6,37,12,3.84,18.33
WEST ROEBUCK,20/07/2012,7.3,0.0, ,32.0,14.1,38,13,4.88,18.38
WEST ROEBUCK,21/07/2012,6.2,0.0, ,28.9,9.8,50,16,4.42,18.41
WEST ROEBUCK,22/07/2012,5.4,0.0, ,28.8,7.9,57,16,3.55,18.44
WEST ROEBUCK,23/07/2012,5.4,0.0, ,30.1,8.6,54,14,3.20,18.65
WEST ROEBUCK,24/07/2012,5.8,0.0, ,32.2,9.7,50,13,3.15,18.67
WEST ROEBUCK,25/07/2012,6.0,0.0, ,32.5,10.4,47,13,3.31,18.74
WEST ROEBUCK,26/07/2012,6.7,0.0, ,30.2,11.7,44,14,4.56,18.71
WEST ROEBUCK,27/07/2012,6.5,0.0, ,28.8,8.6,54,16,4.93,18.87
WEST ROEBUCK,28/07/2012,6.1,0.0, ,30.7,9.4,52,14,3.71,19.00
WEST ROEBUCK,29/07/2012,6.1,0.0, ,29.1,11.1,46,15,4.11,18.87
WEST ROEBUCK,30/07/2012,5.5,0.0, ,28.5,4.2,70,16,3.64,19.08
WEST ROEBUCK,31/07/2012,5.8,0.0, ,29.9,6.5,63,15,3.56,19.32
Totals:,,178.1,0, ,,,,,, 
