'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WEST ROEBUCK Western Australia for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WEST ROEBUCK,01/10/2017,8.3,0.0, ,38.2,16.7,32,10,3.16,26.40
WEST ROEBUCK,02/10/2017,8.1,0.0, ,40.3,18.2,29,8,2.77,26.48
WEST ROEBUCK,03/10/2017,7.5,0.0, ,34.8,19.4,26,11,2.91,26.49
WEST ROEBUCK,04/10/2017,7.3,0.0, ,34.8,18.3,29,11,2.75,26.64
WEST ROEBUCK,05/10/2017,7.5,0.0, ,32.7,20.5,24,13,3.13,26.72
WEST ROEBUCK,06/10/2017,7.9,0.0, ,34.4,20.8,24,12,3.19,26.82
WEST ROEBUCK,07/10/2017,8.0,0.0, ,32.1,22.8,26,13,3.55,26.85
WEST ROEBUCK,08/10/2017,7.0,0.0, ,34.1,18.2,28,12,2.59,26.00
WEST ROEBUCK,09/10/2017,8.2,0.0, ,34.0,23.1,21,12,3.45,26.61
WEST ROEBUCK,10/10/2017,8.2,0.0, ,33.1,21.6,24,13,3.63,26.93
WEST ROEBUCK,11/10/2017,8.0,0.0, ,35.8,20.0,26,11,3.06,27.07
WEST ROEBUCK,12/10/2017,9.2,0.0, ,42.5,21.1,24,7,3.21,26.75
WEST ROEBUCK,13/10/2017,8.4,0.8, ,38.2,23.8,21,9,3.08,26.10
WEST ROEBUCK,14/10/2017,8.4,0.0, ,37.8,23.7,21,10,3.07,27.47
WEST ROEBUCK,15/10/2017,9.0,0.0, ,41.6,25.3,20,8,3.08,27.49
WEST ROEBUCK,16/10/2017,8.6,0.0, ,36.9,23.4,21,10,3.26,27.59
WEST ROEBUCK,17/10/2017,8.1,0.0, ,33.7,22.2,23,12,3.41,26.55
WEST ROEBUCK,18/10/2017, ,0.0, , ,24.2,20,11,3.51,27.58
WEST ROEBUCK,19/10/2017, , , ,44.5, ,21,7,3.77,27.67
WEST ROEBUCK,20/10/2017,9.7,0.0, ,43.3,23.4,21,7,3.36,27.51
WEST ROEBUCK,21/10/2017,7.9,0.0, ,36.9,24.0,20,10,2.65,27.81
WEST ROEBUCK,22/10/2017,7.7,0.0, ,36.1,22.8,21,11,2.59,27.65
WEST ROEBUCK,23/10/2017,8.4,0.0, ,37.5,21.2,23,10,3.05,27.59
WEST ROEBUCK,24/10/2017,8.6,0.0, ,36.6,21.3,23,10,3.33,27.88
WEST ROEBUCK,25/10/2017,9.1,0.0, ,37.5,22.8,22,10,3.59,28.00
WEST ROEBUCK,26/10/2017,9.4,0.0, ,36.8,22.9,22,10,3.86,28.27
WEST ROEBUCK,27/10/2017,10.1,0.0, ,41.5,23.3,21,8,3.75,28.35
WEST ROEBUCK,28/10/2017,8.9,0.0, ,36.6,22.0,22,10,3.47,28.34
WEST ROEBUCK,29/10/2017,9.9,0.0, ,42.4,20.7,24,8,3.48,28.47
WEST ROEBUCK,30/10/2017,10.7,0.0, ,45.0,19.4,26,7,3.70,28.54
WEST ROEBUCK,31/10/2017,9.8,0.0, ,43.3,19.1,28,7,3.31,28.32
Totals:,,247.9,0.8, ,,,,,, 
