'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILUNA AERO Western Australia for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILUNA AERO,01/04/2018,6.9,1.4, ,36.9,26.3,51,18,4.04,12.83
WILUNA AERO,02/04/2018,4.9,0.2, ,28.8,21.2,77,39,6.28,6.76
WILUNA AERO,03/04/2018,4.7,0.0, ,29.6,20.0,73,34,4.37,9.21
WILUNA AERO,04/04/2018,6.0,0.0, ,38.0,17.9,61,17,2.43,20.10
WILUNA AERO,05/04/2018,6.7,0.0, ,38.3,18.2,43,12,2.85,21.01
WILUNA AERO,06/04/2018,6.5,0.0, ,37.6,19.5,39,10,2.71,20.84
WILUNA AERO,07/04/2018,6.4,0.0, ,39.1,17.8,35,10,2.56,19.02
WILUNA AERO,08/04/2018,6.3,0.0, ,39.8,20.0,41,9,2.50,18.21
WILUNA AERO,09/04/2018,6.4,0.0, ,38.0,23.8,36,10,2.91,15.75
WILUNA AERO,10/04/2018,5.9,0.0, ,31.8,20.7,39,20,3.84,10.85
WILUNA AERO,11/04/2018,7.2,0.0, ,28.6,16.7,52,13,5.52,20.13
WILUNA AERO,12/04/2018,5.4,0.0, ,30.6,12.7,38,10,2.68,20.00
WILUNA AERO,13/04/2018,5.6,0.0, ,28.7,13.2,38,18,3.39,19.84
WILUNA AERO,14/04/2018,6.2,0.0, ,30.6,13.3,47,10,3.64,19.69
WILUNA AERO,15/04/2018,5.3,0.0, ,30.1,12.6,41,12,2.76,18.86
WILUNA AERO,16/04/2018,5.1,0.0, ,30.6,14.6,38,13,2.74,14.71
WILUNA AERO,17/04/2018,4.6,0.0, ,33.0,11.4,43,12,1.85,19.11
WILUNA AERO,18/04/2018,5.9,0.0, ,33.7,13.5,41,13,2.99,19.05
WILUNA AERO,19/04/2018,6.0,0.0, ,33.8,16.0,40,12,3.13,18.23
WILUNA AERO,20/04/2018,5.1,0.0, ,34.2,16.4,40,13,2.45,15.18
WILUNA AERO,21/04/2018,5.2,0.0, ,36.6,16.3,40,10,2.26,15.62
WILUNA AERO,22/04/2018,8.0,0.0, ,37.7,22.8,31,10,4.60,12.81
WILUNA AERO,23/04/2018,4.8,0.0, ,31.1,20.8,54,23,2.87,13.75
WILUNA AERO,24/04/2018,5.4,0.0, ,31.5,15.2,58,23,3.41,17.70
WILUNA AERO,25/04/2018,5.3,0.0, ,28.4,18.6,62,33,5.00,12.79
WILUNA AERO,26/04/2018,5.7,0.0, ,33.1,15.3,82,17,3.54,18.10
WILUNA AERO,27/04/2018,4.0,0.0, ,31.3,13.3,45,14,1.97,12.52
WILUNA AERO,28/04/2018,6.1,0.0, ,31.1,13.3,47,22,4.29,17.82
WILUNA AERO,29/04/2018,5.5,0.0, ,28.6,14.8,73,27,4.98,17.35
WILUNA AERO,30/04/2018,5.7,0.0, ,31.6,13.4,68,13,3.63,17.57
Totals:,,172.8,1.6, ,,,,,, 
