'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WITCHCLIFFE Western Australia for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WITCHCLIFFE,01/11/2009,5.1,0.0, ,19.0,7.2,73,43,6.22,28.87
WITCHCLIFFE,02/11/2009,5.0,0.0, ,20.6,4.9,91,43,4.58,31.25
WITCHCLIFFE,03/11/2009,5.3,0.0, ,22.5,6.4,88,46,4.44,31.31
WITCHCLIFFE,04/11/2009,5.4,0.0, ,28.3,10.2,86,30,3.04,22.15
WITCHCLIFFE,05/11/2009,4.3,0.0, ,25.6,15.6,78,39,2.15,18.78
WITCHCLIFFE,06/11/2009,4.9,0.0, ,26.2,15.8,86,59,3.73,24.15
WITCHCLIFFE,07/11/2009,4.2,0.2, ,22.6,11.4,99,56,2.89,24.20
WITCHCLIFFE,08/11/2009,5.0,1.2, ,20.9,10.6,94,47,2.77,31.68
WITCHCLIFFE,09/11/2009,5.4,0.0, ,24.8,6.7,99,42,3.27,30.73
WITCHCLIFFE,10/11/2009,5.1,0.0, ,25.9,9.3,98,49,2.48,29.21
WITCHCLIFFE,11/11/2009,5.4,0.0, ,28.2,10.1,99,47,1.99,29.57
WITCHCLIFFE,12/11/2009, ,8.0, ,26.4,14.8,99,61,4.48, 
WITCHCLIFFE,13/11/2009,5.6,10.6, ,22.6,15.4,100,46,5.83,31.83
WITCHCLIFFE,14/11/2009,4.3,0.0, ,20.7,13.6,99,63,5.10,27.25
WITCHCLIFFE,15/11/2009,4.5,0.4, ,22.4,12.9,99,57,2.31,26.94
WITCHCLIFFE,16/11/2009, ,0.0, ,20.5,15.6,97,65,2.53, 
WITCHCLIFFE,17/11/2009, ,0.8, ,20.8,11.2,99,56,3.15, 
WITCHCLIFFE,18/11/2009, ,7.0, ,19.4,13.3,94,52,6.31, 
WITCHCLIFFE,19/11/2009, ,6.2, ,17.3,12.8,89,65,6.53, 
WITCHCLIFFE,20/11/2009, ,1.2, ,18.7,10.0,87,51,3.65, 
WITCHCLIFFE,21/11/2009, ,0.2, ,19.9,9.6,96,52,2.51, 
WITCHCLIFFE,22/11/2009, ,0.6, ,21.6,8.0,99,54,2.10, 
WITCHCLIFFE,23/11/2009, ,0.0, ,28.7,7.7,99,38,2.43, 
WITCHCLIFFE,24/11/2009, ,0.0, ,32.0,12.4,99,14,4.37, 
WITCHCLIFFE,25/11/2009, ,0.2, ,20.2,14.7,93,50,4.42, 
WITCHCLIFFE,26/11/2009, ,1.2, ,18.0,9.0,90,45,4.30, 
WITCHCLIFFE,27/11/2009, ,0.0, ,17.6,9.5,93,55,2.66, 
WITCHCLIFFE,28/11/2009,5.8,0.0, ,25.0,7.3,95,40,2.65,33.53
WITCHCLIFFE,29/11/2009,5.5,0.0, ,22.7,10.2,99,49,4.17,33.80
WITCHCLIFFE,30/11/2009,5.2,0.0, ,22.3,5.8,99,46,1.99,34.22
Totals:,,86,37.8, ,,,,,, 
