'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WITCHCLIFFE Western Australia for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WITCHCLIFFE,01/11/2016,4.1,0.4, ,19.5,5.8,97,51,3.51,27.14
WITCHCLIFFE,02/11/2016, ,0.0, , ,7.7,96,41,2.93,28.35
WITCHCLIFFE,03/11/2016, , , ,19.7, ,99,63,1.97,18.30
WITCHCLIFFE,04/11/2016,4.4, , ,23.4,14.7,99,47,3.07,22.43
WITCHCLIFFE,05/11/2016,6.0,0.2, ,29.7,10.7,99,38,3.12,28.78
WITCHCLIFFE,06/11/2016,3.3,0.0, ,20.7,13.1,100,52,4.02,14.58
WITCHCLIFFE,07/11/2016,2.9,0.0, ,17.8,8.5,91,47,2.38,14.14
WITCHCLIFFE,08/11/2016,3.7,0.0, ,19.5,5.4,99,46,2.97,22.14
WITCHCLIFFE,09/11/2016,3.5,0.0, ,19.8,9.4,96,46,1.85,20.25
WITCHCLIFFE,10/11/2016,2.8,1.6, ,18.7,6.8,99,55,3.26,13.91
WITCHCLIFFE,11/11/2016,3.5,12.2, ,18.3,9.4,98,44,3.17,18.62
WITCHCLIFFE,12/11/2016,4.6,0.0, ,20.2,9.4,95,42,3.03,27.90
WITCHCLIFFE,13/11/2016,5.4,0.0, ,25.9,5.6,99,31,2.39,29.59
WITCHCLIFFE,14/11/2016,7.4,0.2, ,32.0,10.4,99,18,3.58,29.93
WITCHCLIFFE,15/11/2016,6.5,0.0, ,26.5,14.2,99,31,5.23,29.15
WITCHCLIFFE,16/11/2016,3.3,0.0, ,20.5,15.0,99,49,3.69,14.40
WITCHCLIFFE,17/11/2016,4.3,0.8, ,19.6,8.8,92,41,1.93,26.61
WITCHCLIFFE,18/11/2016,5.0,0.0, ,24.3,6.8,99,43,1.98,30.27
WITCHCLIFFE,19/11/2016,4.6,0.0, ,22.7,8.5,100,52,2.87,28.05
WITCHCLIFFE,20/11/2016,4.4,0.0, ,19.9,11.8,91,44,3.64,24.49
WITCHCLIFFE,21/11/2016,4.0,0.0, ,20.6,5.5,99,42,1.78,24.63
WITCHCLIFFE,22/11/2016,5.1,0.0, ,22.5,7.1,99,40,2.98,30.78
WITCHCLIFFE,23/11/2016,6.3,0.0, ,26.5,10.8,96,39,4.96,30.88
WITCHCLIFFE,24/11/2016,6.2,0.0, ,26.4,12.1,95,45,5.53,30.96
WITCHCLIFFE,25/11/2016,6.9,0.0, ,31.2,11.3,98,30,3.29,31.03
WITCHCLIFFE,26/11/2016,7.9,0.0, ,34.4,11.2,100,18,3.24,31.13
WITCHCLIFFE,27/11/2016,5.4,0.0, ,23.5,16.1,99,52,5.50,29.99
WITCHCLIFFE,28/11/2016,5.4,0.0, ,23.6,12.0,86,50,4.75,28.80
WITCHCLIFFE,29/11/2016,5.2,0.0, ,20.6,14.6,79,45,5.63,24.63
WITCHCLIFFE,30/11/2016,4.6,0.0, ,22.0,7.8,92,46,3.18,25.90
Totals:,,136.7,15.4, ,,,,,, 
