'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WITCHCLIFFE Western Australia for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WITCHCLIFFE,01/11/2018,3.8,0.0, ,19.5,5.3,100,50,3.75,23.80
WITCHCLIFFE,02/11/2018,2.4,0.0, ,18.7,12.4,99,62,2.48,11.99
WITCHCLIFFE,03/11/2018,4.5,0.0, ,23.0,9.3,99,50,3.14,26.26
WITCHCLIFFE,04/11/2018,3.5,0.0, ,19.7,10.7,100,54,4.13,19.17
WITCHCLIFFE,05/11/2018,4.2,2.4, ,17.5,10.3,99,42,5.17,25.30
WITCHCLIFFE,06/11/2018,2.9,3.4, ,16.1,5.8,99,48,2.82,16.68
WITCHCLIFFE,07/11/2018,4.1,0.0, ,18.4,5.6,99,42,1.97,28.20
WITCHCLIFFE,08/11/2018,4.4,0.0, ,21.6,4.3,100,45,3.00,27.40
WITCHCLIFFE,09/11/2018,5.2,0.0, ,23.2,11.7,96,49,5.97,28.00
WITCHCLIFFE,10/11/2018,3.4,0.0, ,20.0,12.0,96,62,6.57,17.67
WITCHCLIFFE,11/11/2018,4.1,0.0, ,21.4,13.0,99,43,3.84,20.21
WITCHCLIFFE,12/11/2018,3.5,1.8, ,21.0,11.6,100,72,2.62,22.02
WITCHCLIFFE,13/11/2018,4.0,1.0, ,21.6,14.1,100,52,3.39,21.66
WITCHCLIFFE,14/11/2018,5.0,0.0, ,22.7,8.6,94,47,4.36,28.02
WITCHCLIFFE,15/11/2018,5.1,0.0, ,24.1,8.4,100,52,5.02,28.69
WITCHCLIFFE,16/11/2018,5.3,0.0, ,25.4,11.5,97,48,5.06,26.67
WITCHCLIFFE,17/11/2018,4.3,0.0, ,25.5,13.6,99,54,2.95,21.60
WITCHCLIFFE,18/11/2018,3.2,0.0, ,20.5,14.3,94,53,3.91,13.40
WITCHCLIFFE,19/11/2018,3.6,1.8, ,18.0,11.4,96,46,4.19,18.14
WITCHCLIFFE,20/11/2018,3.1,0.0, ,17.7,10.0,94,51,3.84,14.64
WITCHCLIFFE,21/11/2018,3.9,0.6, ,21.8,9.5,100,52,3.44,20.53
WITCHCLIFFE,22/11/2018,3.9,0.0, ,22.4,9.3,96,41,4.14,14.61
WITCHCLIFFE,23/11/2018,4.1,0.4, ,20.9,12.4,100,49,4.21,21.18
WITCHCLIFFE,24/11/2018,4.0,0.2, ,20.6,9.7,99,45,2.25,23.20
WITCHCLIFFE,25/11/2018,3.3,8.4, ,19.9,9.7,100,55,4.37,16.07
WITCHCLIFFE,26/11/2018,3.6,0.8, ,19.3,5.5,98,43,3.35,18.89
WITCHCLIFFE,27/11/2018,4.5,0.2, ,20.5,5.0,99,43,2.23,29.87
WITCHCLIFFE,28/11/2018,3.9,0.0, ,20.4,8.7,100,45,2.33,22.07
WITCHCLIFFE,29/11/2018,4.2,0.0, ,20.0,12.1,99,43,4.63,21.39
WITCHCLIFFE,30/11/2018,3.9,0.0, ,19.7,3.8,99,43,2.93,22.54
Totals:,,118.9,21, ,,,,,, 
