'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WITCHCLIFFE Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WITCHCLIFFE,01/01/2020,5.5,0.0, ,25.5,12.4,98,41,2.30,30.13
WITCHCLIFFE,02/01/2020,4.5,0.4, ,22.7,15.5,98,45,4.46,20.84
WITCHCLIFFE,03/01/2020,5.1,2.0, ,20.4,12.0,81,35,5.35,23.13
WITCHCLIFFE,04/01/2020,5.4,0.0, ,23.8,5.9,98,33,3.13,29.59
WITCHCLIFFE,05/01/2020,6.2,0.0, ,27.5,6.3,92,30,2.91,31.16
WITCHCLIFFE,06/01/2020,6.3,0.0, ,28.9,9.3,99,32,2.94,30.18
WITCHCLIFFE,07/01/2020,6.7,0.0, ,30.7,14.4,90,19,2.68,28.82
WITCHCLIFFE,08/01/2020,5.8,0.0, ,25.9,13.7,91,37,2.99,29.44
WITCHCLIFFE,09/01/2020,5.5,0.0, ,23.5,12.7,82,39,4.89,25.04
WITCHCLIFFE,10/01/2020,6.8,0.0, ,25.9,12.8,73,34,4.78,30.79
WITCHCLIFFE,11/01/2020,7.4,0.0, ,31.9,13.0,90,24,3.53,30.74
WITCHCLIFFE,12/01/2020,5.8,0.0, ,27.1,12.3,100,48,4.53,29.53
WITCHCLIFFE,13/01/2020,6.5,0.0, ,24.8,12.8,78,40,6.21,30.39
WITCHCLIFFE,14/01/2020,6.2,0.0, ,24.6,13.9,81,51,8.16,30.01
WITCHCLIFFE,15/01/2020,7.2,0.0, ,27.2,14.2,78,39,6.79,30.18
WITCHCLIFFE,16/01/2020,7.1,0.0, ,30.2,12.9,87,37,4.62,30.08
WITCHCLIFFE,17/01/2020,3.7,0.0, ,23.2,17.4,90,61,6.83,13.37
WITCHCLIFFE,18/01/2020,5.8,0.0, ,23.2,13.9,81,41,5.89,26.51
WITCHCLIFFE,19/01/2020,6.2,0.0, ,25.2,11.5,85,36,4.79,29.24
WITCHCLIFFE,20/01/2020,6.2,0.0, ,26.2,14.1,84,43,4.72,29.40
WITCHCLIFFE,21/01/2020,4.9,0.6, ,23.0,17.3,88,45,5.48,20.77
WITCHCLIFFE,22/01/2020,3.9,0.0, ,22.8,15.7,90,54,5.10,15.45
WITCHCLIFFE,23/01/2020,4.3,0.4, ,23.9,15.6,100,50,4.20,19.77
WITCHCLIFFE,24/01/2020,5.4,0.0, ,27.6,13.1,89,45,3.04,26.24
WITCHCLIFFE,25/01/2020,6.0,0.0, ,28.4,14.0,89,49,4.27,28.28
WITCHCLIFFE,26/01/2020,7.2,0.0, ,29.9,17.6,87,32,4.90,28.92
WITCHCLIFFE,27/01/2020,8.1,0.0, ,34.9,15.1,89,28,4.28,29.18
WITCHCLIFFE,28/01/2020,6.6,0.0, ,30.7,17.2,100,35,3.79,28.53
WITCHCLIFFE,29/01/2020,4.5,0.0, ,26.6,14.7,99,50,3.53,19.85
WITCHCLIFFE,30/01/2020,3.9,1.8, ,21.3,12.8,99,44,4.16,17.39
WITCHCLIFFE,31/01/2020,4.3,0.8, ,22.6,7.3,96,36,2.54,22.16
Totals:,,179,6, ,,,,,, 
