'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/09/2012,6.8,0.0, ,36.7,19.7,100,20,3.25,23.83
WYNDHAM AERO,02/09/2012,7.1,0.0, ,35.7,16.4,65,17,3.26,24.14
WYNDHAM AERO,03/09/2012,7.3,0.0, ,37.2,17.9,48,11,3.00,23.54
WYNDHAM AERO,04/09/2012,7.4,0.0, ,37.4,16.9,56,10,3.10,24.06
WYNDHAM AERO,05/09/2012,7.1,0.0, ,37.2,18.5,94,16,3.13,24.66
WYNDHAM AERO,06/09/2012,6.8,0.0, ,36.3,19.2,88,19,2.98,24.78
WYNDHAM AERO,07/09/2012,7.7,0.0, ,38.7,20.6,81,12,3.25,24.87
WYNDHAM AERO,08/09/2012,7.6,0.0, ,36.5,18.0,89,13,3.71,24.90
WYNDHAM AERO,09/09/2012,8.6,0.0, ,35.0,19.3,62,9,4.64,24.86
WYNDHAM AERO,10/09/2012,8.4,0.0, ,36.0,17.4,26,7,3.76,25.01
WYNDHAM AERO,11/09/2012,8.1,0.0, ,38.0,16.9,45,10,3.42,24.86
WYNDHAM AERO,12/09/2012,7.8,0.0, ,39.1,17.7,52,14,3.02,25.03
WYNDHAM AERO,13/09/2012,8.1,0.0, ,39.9,21.0,56,9,3.12,25.09
WYNDHAM AERO,14/09/2012,9.3,0.0, ,39.3,16.2,76,7,4.30,25.10
WYNDHAM AERO,15/09/2012,7.9,0.0, ,37.5,16.0,76,7,3.38,25.20
WYNDHAM AERO,16/09/2012,9.1,0.0, ,38.2,15.5,31,6,3.94,25.30
WYNDHAM AERO,17/09/2012,7.8,0.0, ,37.8,16.2,48,7,3.00,25.79
WYNDHAM AERO,18/09/2012,7.4,0.0, ,38.2,17.5,62,9,2.66,26.02
WYNDHAM AERO,19/09/2012,7.2,0.0, ,38.6,18.5,84,13,2.51,26.30
WYNDHAM AERO,20/09/2012,7.8,0.0, ,39.7,21.4,77,14,2.89,26.38
WYNDHAM AERO,21/09/2012,9.0,0.0, ,39.7,21.1,82,13,4.16,26.49
WYNDHAM AERO,22/09/2012,8.4,0.0, ,39.9,21.0,86,17,3.65,26.60
WYNDHAM AERO,23/09/2012,8.1,0.0, ,39.9,21.2,73,14,3.10,26.72
WYNDHAM AERO,24/09/2012,8.6,0.0, ,40.8,21.3,73,11,3.37,26.38
WYNDHAM AERO,25/09/2012,8.0,0.0, ,38.1,22.5,76,26,3.79,26.55
WYNDHAM AERO,26/09/2012,8.1,0.0, ,39.1,21.9,82,20,3.39,26.92
WYNDHAM AERO,27/09/2012,8.8,0.0, ,40.1,23.2,61,23,3.80,26.84
WYNDHAM AERO,28/09/2012,9.1,0.0, ,39.4,25.9,63,21,4.32,26.69
WYNDHAM AERO,29/09/2012,8.5,0.0, ,39.7,23.9,81,19,3.67,26.94
WYNDHAM AERO,30/09/2012,8.2,0.0, ,37.0,24.7,84,27,4.87,24.30
Totals:,,240.1,0, ,,,,,, 
