'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/11/2017,4.9,6.8, ,35.9,24.7,87,32,2.83,12.43
WYNDHAM AERO,02/11/2017,8.5,0.0, ,39.9,24.9,77,8,2.95,28.66
WYNDHAM AERO,03/11/2017,8.7,0.0, ,40.7,22.1,66,6,2.90,28.69
WYNDHAM AERO,04/11/2017, ,0.0, , ,21.6,63,15,3.12,28.73
WYNDHAM AERO,05/11/2017, , , ,39.8, ,78,24,3.92,28.76
WYNDHAM AERO,06/11/2017,7.5,0.0, ,38.3,26.9,74,32,3.33,23.85
WYNDHAM AERO,07/11/2017,3.6,0.8, ,33.4,25.8,88,49,2.34,9.85
WYNDHAM AERO,08/11/2017,8.0,0.2, ,39.3,26.4,79,27,3.43,25.27
WYNDHAM AERO,09/11/2017,9.1,0.0, ,39.5,24.4,80,18,3.88,28.84
WYNDHAM AERO,10/11/2017,9.8,0.0, ,42.3,24.2,71,19,3.98,28.78
WYNDHAM AERO,11/11/2017,9.5,0.0, ,40.9,27.1,64,23,4.05,28.18
WYNDHAM AERO,12/11/2017,8.8,0.0, ,39.8,26.0,93,30,4.26,28.84
WYNDHAM AERO,13/11/2017,8.3,11.2, ,37.0,24.0,97,33,4.79,28.73
WYNDHAM AERO,14/11/2017,7.5,4.0, ,37.7,23.3,90,36,3.41,27.11
WYNDHAM AERO,15/11/2017,8.6,3.0, ,38.8,24.6,92,30,4.23,28.66
WYNDHAM AERO,16/11/2017,7.7,0.0, ,39.0,27.8,62,34,3.92,20.78
WYNDHAM AERO,17/11/2017,7.8,0.8, ,38.5,26.1,91,33,3.41,26.90
WYNDHAM AERO,18/11/2017,8.8,0.0, ,39.5,27.4,85,35,4.46,28.19
WYNDHAM AERO,19/11/2017,7.6,0.0, ,38.5,28.1,84,36,3.93,23.44
WYNDHAM AERO,20/11/2017, ,8.0, , ,25.1,100,56,3.88,23.71
WYNDHAM AERO,21/11/2017, ,4.8, , , ,100,66,3.29,24.21
WYNDHAM AERO,22/11/2017, ,8.0, ,36.2, ,69,67,4.10,22.30
WYNDHAM AERO,23/11/2017,7.8,0.2, ,40.4,26.3,68,66,3.73,28.87
WYNDHAM AERO,24/11/2017,7.9,0.0, ,40.3,27.8,68,66,4.27,27.85
WYNDHAM AERO,25/11/2017,8.0,0.0, ,39.9,27.9,69,66,4.37,28.72
WYNDHAM AERO,26/11/2017,7.0,27.6, ,36.6,23.5,69,67,3.49,28.65
WYNDHAM AERO,27/11/2017,6.8,23.8, ,36.5,22.4,69,67,3.60,27.88
WYNDHAM AERO,28/11/2017,7.3,0.0, ,38.1,25.9,68,67,3.34,28.86
WYNDHAM AERO,29/11/2017,7.4,0.0, ,38.7,27.7,68,67,3.34,28.32
WYNDHAM AERO,30/11/2017,7.6,0.0, ,39.8,29.5,68,66,3.90,26.55
Totals:,,194.5,99.2, ,,,,,, 
