'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/06/2021,5.0,0.0, ,34.0,18.9,83,32,2.75,19.40
WYNDHAM AERO,02/06/2021,5.1,0.0, ,35.4,20.3,76,30,2.53,19.25
WYNDHAM AERO,03/06/2021,5.5,0.0, ,35.4,22.3,73,24,2.81,19.33
WYNDHAM AERO,04/06/2021,7.1,0.0, ,34.3,23.0,50,28,4.73,19.31
WYNDHAM AERO,05/06/2021,7.1,0.0, ,30.8,22.3,40,19,4.85,19.21
WYNDHAM AERO,06/06/2021,5.8,0.0, ,30.8,17.4,45,19,3.56,19.17
WYNDHAM AERO,07/06/2021,5.1,0.0, ,32.7,13.4,62,15,2.51,19.14
WYNDHAM AERO,08/06/2021,5.2,0.0, ,33.1,14.3,72,18,2.76,19.06
WYNDHAM AERO,09/06/2021,6.0,0.0, ,32.2,16.5,55,13,3.55,18.85
WYNDHAM AERO,10/06/2021,5.2,0.0, ,29.6,15.0,44,17,3.03,18.88
WYNDHAM AERO,11/06/2021,5.3,0.0, ,29.8,12.0,49,12,3.04,18.93
WYNDHAM AERO,12/06/2021,4.0,0.0, ,31.9,10.2,50,12,1.61,18.95
WYNDHAM AERO,13/06/2021,4.9,0.0, ,33.3,11.5,55,13,2.29,18.91
WYNDHAM AERO,14/06/2021,4.5,0.0, ,34.5,14.1,68,13,1.83,18.90
WYNDHAM AERO,15/06/2021,5.0,0.0, ,35.4,16.1,85,20,2.39,18.92
WYNDHAM AERO,16/06/2021,5.0,0.0, ,34.5,17.2,80,19,2.42,18.85
WYNDHAM AERO,17/06/2021,5.4,0.0, ,35.0,17.9,72,15,2.68,18.93
WYNDHAM AERO,18/06/2021,7.0,0.0, ,33.5,19.4,42,18,4.42,18.68
WYNDHAM AERO,19/06/2021,6.6,0.0, ,30.9,19.5,33,17,4.19,18.84
WYNDHAM AERO,20/06/2021,4.9,0.0, ,29.9,16.0,41,16,2.58,18.84
WYNDHAM AERO,21/06/2021,4.9,0.0, ,32.6,13.2,52,14,2.40,18.85
WYNDHAM AERO,22/06/2021,5.2,0.0, ,33.1,14.7,76,28,3.15,18.52
WYNDHAM AERO,23/06/2021,4.2,0.0, ,33.3,20.4,86,45,2.33,17.66
WYNDHAM AERO,24/06/2021,6.1,0.0, ,31.3,23.1,61,34,4.73,18.63
WYNDHAM AERO,25/06/2021,6.5,0.0, ,31.1,21.4,36,21,4.28,16.71
WYNDHAM AERO,26/06/2021,6.1,0.0, ,30.4,19.8,52,27,4.41,18.64
WYNDHAM AERO,27/06/2021,5.6,0.0, ,29.6,19.7,48,23,3.60,18.88
WYNDHAM AERO,28/06/2021,4.8,0.0, ,30.7,15.7,54,23,2.65,18.96
WYNDHAM AERO,29/06/2021,5.2,0.0, ,31.9,14.1,60,22,2.98,19.03
WYNDHAM AERO,30/06/2021,6.3,0.0, ,33.3,16.0,57,18,3.80,18.91
Totals:,,164.6,0, ,,,,,, 
