'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMPI SOUND (DEFENCE) Western Australia for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMPI SOUND (DEFENCE),01/11/2018, , , , , ,21,9,1.57,23.51
YAMPI SOUND (DEFENCE),02/11/2018, , , , , ,20,9,1.68,28.38
YAMPI SOUND (DEFENCE),03/11/2018, , , , , ,19,9,2.24,28.51
YAMPI SOUND (DEFENCE),04/11/2018, , , , , ,17,9,2.36,26.81
YAMPI SOUND (DEFENCE),05/11/2018, , , , , , , , ,21.10
YAMPI SOUND (DEFENCE),06/11/2018, , , , , ,20,9,2.02,28.51
YAMPI SOUND (DEFENCE),07/11/2018, , , , , ,20,9,1.72,28.69
YAMPI SOUND (DEFENCE),08/11/2018, , , , , ,19,9,1.99,28.90
YAMPI SOUND (DEFENCE),09/11/2018, , , , , ,18,8,1.70,21.92
YAMPI SOUND (DEFENCE),10/11/2018, , , , , ,20,7,1.15,29.05
YAMPI SOUND (DEFENCE),11/11/2018, , , , , ,20,8,1.61,27.44
YAMPI SOUND (DEFENCE),12/11/2018, , , , , ,18,10,2.05,28.84
YAMPI SOUND (DEFENCE),13/11/2018, , , , , ,19,9,2.08,29.02
YAMPI SOUND (DEFENCE),14/11/2018, , , , , ,19,8,2.30,28.66
YAMPI SOUND (DEFENCE),15/11/2018, , , , , ,18,8,1.48,29.10
YAMPI SOUND (DEFENCE),16/11/2018, , , , , ,18,9,1.72,29.11
YAMPI SOUND (DEFENCE),17/11/2018, , , , , , , , ,29.08
YAMPI SOUND (DEFENCE),18/11/2018, , , , , ,18,9,2.28,26.91
YAMPI SOUND (DEFENCE),19/11/2018, , , , , ,18,9,2.06,28.70
YAMPI SOUND (DEFENCE),20/11/2018, , , , , ,18,10,2.42,27.51
YAMPI SOUND (DEFENCE),21/11/2018, , , , , ,20,9,2.04,28.95
YAMPI SOUND (DEFENCE),22/11/2018, , , , , ,21,10,2.31,29.24
YAMPI SOUND (DEFENCE),23/11/2018, , , , , ,20,10,2.80,28.86
YAMPI SOUND (DEFENCE),24/11/2018, , , , , ,20,10,2.36,29.31
YAMPI SOUND (DEFENCE),25/11/2018, , , , , ,19,10,2.37,28.60
YAMPI SOUND (DEFENCE),26/11/2018, , , , , ,19,11,2.23,29.00
YAMPI SOUND (DEFENCE),27/11/2018, , , , , ,20,10,2.35,28.78
YAMPI SOUND (DEFENCE),28/11/2018, , , , , ,18,10,2.52,28.92
YAMPI SOUND (DEFENCE),29/11/2018, , , , , ,19,9,2.34,29.03
YAMPI SOUND (DEFENCE),30/11/2018, , , , , ,20,10,2.27,27.48
Totals:,, , , ,,,,,, 
