'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMPI SOUND (DEFENCE) Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMPI SOUND (DEFENCE),01/10/2021,7.6,0.0, ,39.7,18.1,71,12,2.64,26.09
YAMPI SOUND (DEFENCE),02/10/2021,6.6,0.0, ,37.2,17.1,75,21,2.12,26.20
YAMPI SOUND (DEFENCE),03/10/2021,6.4,0.0, ,36.1,19.2,93,19,2.11,26.28
YAMPI SOUND (DEFENCE),04/10/2021,6.0, , ,36.1,17.9,98,17,1.61,26.42
YAMPI SOUND (DEFENCE),05/10/2021,6.4,0.0, ,36.6,18.7,93,13,1.93,26.43
YAMPI SOUND (DEFENCE),06/10/2021,6.3,0.0, ,35.7,19.1,95,21,2.05,26.21
YAMPI SOUND (DEFENCE),07/10/2021,6.6,0.0, ,38.0,20.0,96,18,1.93,26.49
YAMPI SOUND (DEFENCE),08/10/2021,6.8,0.0, ,40.4,20.8,98,17,1.82,26.65
YAMPI SOUND (DEFENCE),09/10/2021,7.3,0.0, ,39.4,19.7,84,20,2.42,26.79
YAMPI SOUND (DEFENCE),10/10/2021,6.6,0.0, ,39.2,20.3,73,12,1.66,26.83
YAMPI SOUND (DEFENCE),11/10/2021,7.1,0.0, ,40.8,19.6,84,10,1.99,26.86
YAMPI SOUND (DEFENCE),12/10/2021,6.3,0.0, ,40.3,16.4,88,7,1.41,27.00
YAMPI SOUND (DEFENCE),13/10/2021,6.4,0.0, ,42.0,15.6,82,6,1.35,26.98
YAMPI SOUND (DEFENCE),14/10/2021,6.9,0.0, ,42.4,15.7,83,6,1.60,27.12
YAMPI SOUND (DEFENCE),15/10/2021,7.0,0.0, ,42.0,15.5,89,11,1.75,27.18
YAMPI SOUND (DEFENCE),16/10/2021, ,0.0, , ,17.8,97,11,1.61,27.24
YAMPI SOUND (DEFENCE),17/10/2021,6.7, , ,39.9,19.4,90,15,1.74,26.94
YAMPI SOUND (DEFENCE),18/10/2021,6.4,0.0, ,38.5,21.2,95,27,1.58,26.86
YAMPI SOUND (DEFENCE),19/10/2021,7.4,0.0, ,39.8,20.1,91,17,2.35,27.45
YAMPI SOUND (DEFENCE),20/10/2021,7.5,0.0, ,40.2,22.4,88,19,2.39,27.48
YAMPI SOUND (DEFENCE),21/10/2021,7.8,0.0, ,40.9,24.1,83,16,2.50,27.47
YAMPI SOUND (DEFENCE),22/10/2021,8.6,0.0, ,43.6,24.7,81,7,2.64,27.65
YAMPI SOUND (DEFENCE),23/10/2021,7.7,0.0, ,44.6,18.6,86,5,1.93,27.48
YAMPI SOUND (DEFENCE),24/10/2021,7.5,0.0, ,39.6,23.7,89,19,2.37,27.70
YAMPI SOUND (DEFENCE),25/10/2021, ,0.0, , ,23.1,94,30,1.92,26.96
YAMPI SOUND (DEFENCE),26/10/2021,6.8, , ,38.5,23.5,95,24,1.88,27.01
YAMPI SOUND (DEFENCE),27/10/2021,6.8,0.0, ,38.6,22.6,94,26,1.85,27.52
YAMPI SOUND (DEFENCE),28/10/2021,7.1,0.0, ,39.4,22.9,86,26,2.01,27.88
YAMPI SOUND (DEFENCE),29/10/2021, ,0.0, , ,21.9,90,23,2.16,27.97
YAMPI SOUND (DEFENCE),30/10/2021,6.5, , ,36.3,26.1,83,35,2.23,25.16
YAMPI SOUND (DEFENCE),31/10/2021,6.9,0.0, ,40.5,21.8,87,22,1.66,27.74
Totals:,,194,0, ,,,,,, 
